z,nObs,x,y,bio1
6363,15,23.5416666666667,68.5416666666667,-2.58264166498184
6364,6,23.9583333333333,68.5416666666667,-2.68728833246231
6367,4,25.2083333333333,68.5416666666667,-2.38124334173203
6369,4,26.0416666666667,68.5416666666667,-2.02567666082382
6370,2,26.4583333333333,68.5416666666667,-1.85687999930382
6372,6,27.2916666666667,68.5416666666667,-1.19700333819389
6373,21,27.7083333333333,68.5416666666667,-1.08906500308514
6374,13,28.125,68.5416666666667,-1.06350666925907
6375,1,28.5416666666667,68.5416666666667,-1.10978833320141
6443,4,86.4583333333334,68.5416666666667,-9.28918168869019
6504,4,111.875,68.5416666666667,-12.1469516704559
6530,1,122.708333333333,68.5416666666667,-12.5900100128174
6612,1,156.875,68.5416666666667,-13.4865716716766
6863,10,18.9583333333333,68.125,-3.14902332704067
6865,4,19.7916666666667,68.125,-1.30027166243792
6866,10,20.2083333333333,68.125,-1.17014999690056
6869,4,21.4583333333333,68.125,-2.40124000353813
6873,10,23.125,68.125,-1.37639833192825
6874,13,23.5416666666667,68.125,-1.6814500067234
6875,24,23.9583333333333,68.125,-1.99310833477974
6876,5,24.375,68.125,-1.96502000370026
6878,10,25.2083333333333,68.125,-1.89830498991013
6881,3,26.4583333333333,68.125,-1.61074501066208
6883,5,27.2916666666667,68.125,-1.51177499518394
6884,3,27.7083333333333,68.125,-1.53053167390823
6886,1,28.5416666666667,68.125,-1.45536833312511
6887,1,28.9583333333333,68.125,-1.16839666312933
6894,1,31.875,68.125,-1.20474500303268
6896,1,32.7083333333333,68.125,-0.887546672785282
6897,1,33.125,68.125,-0.908836676251888
6981,9,86.4583333333334,68.125,-8.86251167564392
6982,1,86.875,68.125,-8.97339334411621
6989,1,89.7916666666667,68.125,-10.066779990387
7067,2,122.291666666667,68.125,-12.4328466693878
7068,1,122.708333333333,68.125,-12.2166516433716
7119,2,143.958333333333,68.125,-13.1463183250427
7122,8,145.208333333333,68.125,-12.5141816638947
7124,1,146.041666666667,68.125,-12.5311866523743
7126,1,146.875,68.125,-12.634618264389
7153,1,158.125,68.125,-13.0872749828339
7426,4,18.9583333333333,67.7083333333333,-2.54989666392803
7427,6,19.375,67.7083333333333,-2.43264500403404
7429,2,20.2083333333333,67.7083333333333,-1.39659166910648
7431,9,21.0416666666667,67.7083333333333,-1.38126499862671
7432,7,21.4583333333333,67.7083333333333,-1.70061666889191
